class,feature,LDA_score,pvalue
control,Bacteria.Bacteroidota.Rhodothermia.Balneolales.Balneolaceae.unknown,4.0292914164852185,2.352861728876516e-13
control,Bacteria.Bacteroidota.Rhodothermia.Balneolales.Balneolaceae.unknown.unknown,4.029276841430442,2.352861728876516e-13
control,Bacteria.Bacteroidota.Rhodothermia.Balneolales,4.15458336365613,2.386113296488808e-13
control,Bacteria.Bacteroidota.Rhodothermia.Balneolales.Balneolaceae,4.15458336365613,2.386113296488808e-13
control,Bacteria.Bacteroidota.Rhodothermia,4.335255159633121,2.91646434295922e-13
control,Bacteria.Proteobacteria.Gammaproteobacteria.unknown,4.203910792130674,2.921554566269565e-13
control,Bacteria.Proteobacteria.Gammaproteobacteria.unknown.unknown,4.203910792130674,2.921554566269565e-13
control,Bacteria.Proteobacteria.Gammaproteobacteria.unknown.unknown.unknown,4.203910792130674,2.921554566269565e-13
control,Bacteria.Proteobacteria.Gammaproteobacteria.unknown.unknown.unknown.unknown,4.203910792130674,2.921554566269565e-13
control,Bacteria.Gemmatimonadota.BD2_11terrestrialgroup,4.075426423971422,2.921554566269565e-13
control,Bacteria.Gemmatimonadota.BD2_11terrestrialgroup.unknown,4.075426423971422,2.921554566269565e-13
control,Bacteria.Gemmatimonadota.BD2_11terrestrialgroup.unknown.unknown,4.075426423971422,2.921554566269565e-13
control,Bacteria.Gemmatimonadota.BD2_11terrestrialgroup.unknown.unknown.unknown,4.075426423971422,2.921554566269565e-13
control,Bacteria.Gemmatimonadota.BD2_11terrestrialgroup.unknown.unknown.unknown.unknown,4.075426423971422,2.921554566269565e-13
control,Bacteria.Actinobacteriota.Acidimicrobiia.Actinomarinales,4.070666613077125,3.4529542236311955e-13
control,Bacteria.Actinobacteriota.Acidimicrobiia.Actinomarinales.unknown,4.070666613077125,3.4529542236311955e-13
control,Bacteria.Actinobacteriota.Acidimicrobiia.Actinomarinales.unknown.unknown,4.070666613077125,3.4529542236311955e-13
control,Bacteria.Actinobacteriota.Acidimicrobiia.Actinomarinales.unknown.unknown.unknown,4.070666613077125,3.4529542236311955e-13
control,Bacteria.Actinobacteriota.Acidimicrobiia,4.081254935229245,5.683578052537506e-13
control,Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Marinobacteraceae,4.063078750988466,3.70531559044631e-12
control,Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Marinobacteraceae.Marinobacter,4.063078750988466,3.70531559044631e-12
control,Bacteria.Gemmatimonadota,4.256174566757573,4.319650713615793e-12
control,Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales,4.206257281658883,3.036202013417487e-11
control,Bacteria.Chloroflexi,4.140861951044056,6.484170447491883e-11
control,Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales,4.300315734900168,2.934398584747781e-09
treatment,Bacteria.Desulfobacterota.Desulfuromonadia.Geobacterales,4.029171801353242,2.91646434295922e-13
treatment,Bacteria.Desulfobacterota.Desulfuromonadia.Geobacterales.Geobacteraceae,4.029171801353242,2.91646434295922e-13
treatment,Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales,4.706662000048451,2.921554566269565e-13
treatment,Bacteria.Acidobacteriota.Vicinamibacteria.Vicinamibacterales,4.332114195267884,2.921554566269565e-13
treatment,Bacteria.Acidobacteriota.Vicinamibacteria.Vicinamibacterales.Vicinamibacteraceae,4.088421207831102,3.17497811843392e-13
treatment,Bacteria.Acidobacteriota.Vicinamibacteria.Vicinamibacterales.Vicinamibacteraceae.unknown,4.076303084168611,3.176358304006556e-13
treatment,Bacteria.Acidobacteriota.Vicinamibacteria.Vicinamibacterales.Vicinamibacteraceae.unknown.unknown,4.076303084168611,3.176358304006556e-13
treatment,Bacteria.Acidobacteriota.Vicinamibacteria,4.36329599268114,3.4529542236311955e-13
treatment,Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Nitrosomonadaceae,4.257059243617828,3.4529542236311955e-13
treatment,Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Nitrosomonadaceae.MND1,4.011022642350801,3.4529542236311955e-13
treatment,Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Nitrosomonadaceae.MND1.unknown,4.011022642350801,3.4529542236311955e-13
treatment,Bacteria.Nitrospirota,4.010519554850964,6.701141583819743e-13
treatment,Bacteria.Acidobacteriota,4.601099860962895,2.8972617995819644e-12
