class	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment	treatment
subclass	C1	C1	C1	C1	C1	C1	C1	C1	C1	C1	C1	C1	C2	C2	C2	C2	C2	C2	C2	C2	C2	C3	C3	C3	C3	C3	C3	C3	C3	C3	C3	C3	C3	C3	C3	C3	E1	E1	E1	E1	E1	E1	E1	E1	E1	E1	E1	E1	E1	E1	E1	E2	E2	E2	E2	E2	E2	E2	E2	E2	E3	E3	E3	E3	E3	E3	E3	E3	E3	E3	E3	E3
Archaea	0.0	2.4e-05	0.0	2.9e-05	4.8e-05	0.0	3.5e-05	0.000164	4.7e-05	0.000123	0.0	0.0	9e-05	0.0	0.0	0.0001	0.000125	5.2e-05	0.000252	0.0	8.3e-05	0.000199	8.4e-05	6.7e-05	0.0	0.000216	0.000129	0.000123	0.0	2.5e-05	0.000319	4.2e-05	0.000123	6.7e-05	0.0	3.3e-05	0.000176	0.0	3.5e-05	0.000113	8.5e-05	0.000118	6.3e-05	0.0	0.0	0.000328	2.1e-05	0.000168	0.000144	1.8e-05	0.000208	0.000167	0.00011	0.0	0.000301	6.3e-05	0.000104	0.000283	2.9e-05	0.0	2.3e-05	1.7e-05	7.2e-05	7.4e-05	4.2e-05	3.1e-05	0.0	2.9e-05	2.5e-05	0.000114	5.8e-05	0.000194
Bacteria	1.0	0.999953	1.0	0.999971	0.999952	1.0	0.999965	0.999836	0.999953	0.999877	1.0	1.0	0.99991	1.0	1.0	0.9999	0.999875	0.999948	0.999748	1.0	0.999917	0.999801	0.999916	0.999933	1.0	0.999784	0.999871	0.999877	1.0	0.999975	0.999681	0.999958	0.999877	0.999933	1.0	0.999967	0.999824	1.0	0.999965	0.999887	0.999915	0.999882	0.999937	1.0	1.0	0.999672	0.999979	0.999832	0.999856	0.999982	0.999792	0.999833	0.99989	1.0	0.999699	0.999937	0.999896	0.999717	0.999971	1.0	0.999977	0.999983	0.999928	0.999926	0.999958	0.999969	1.0	0.999971	0.999975	0.999886	0.999942	0.999806
unknown	0.0	2.4e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Archaea|Aenigmarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Archaea|Crenarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000139	0.0	1.2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000125	0.0	0.0	0.0	0.0	0.0	4.2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8e-05	0.0	2.7e-05	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Archaea|Halobacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.5e-05	0.0	0.0	0.0	0.0	0.0	0.0	3.5e-05	0.0	2.5e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Archaea|Micrarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7e-05	0.0
Archaea|Nanoarchaeota	0.0	2.4e-05	0.0	2.9e-05	4.8e-05	0.0	3.5e-05	2.5e-05	4.7e-05	1.2e-05	0.0	0.0	3.6e-05	0.0	0.0	3.3e-05	0.0	1.7e-05	0.000252	0.0	1.8e-05	0.0	4.2e-05	1.9e-05	0.0	0.000216	0.000129	8.8e-05	0.0	0.0	0.000248	0.0	2.1e-05	6.7e-05	0.0	0.0	0.0	0.0	1.8e-05	0.0	0.0	2.4e-05	0.0	0.0	0.0	0.0	0.0	0.0	5.4e-05	1.8e-05	0.0	1.9e-05	3e-05	0.0	0.0	2.1e-05	1.9e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1e-05	0.0	2.9e-05	2.5e-05	1.5e-05	0.0	5.2e-05
Archaea|Thermoplasmatota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1e-05	0.0	0.0	5.4e-05	0.0	0.0	3.3e-05	0.0	0.0	0.0	0.0	0.0	0.000133	0.0	4.8e-05	0.0	0.0	0.0	0.0	0.0	0.0	4.4e-05	0.0	0.0	0.0	0.0	0.0	0.000176	0.0	1.8e-05	0.000113	4.7e-05	9.4e-05	3.6e-05	0.0	0.0	0.000328	0.0	0.000168	9e-05	0.0	0.000208	0.000148	6e-05	0.0	0.000228	4.2e-05	8.5e-05	0.000283	2.9e-05	0.0	2.3e-05	1.7e-05	7.2e-05	7.4e-05	4.2e-05	0.0	0.0	0.0	0.0	9.9e-05	4.2e-05	0.000142
