class,feature,LDA_score,pvalue
control,Bacteria.Bacteroidota.Rhodothermia.Balneolales.Balneolaceae.unknown,4.029291409968743,2.352861728876516e-13
control,Bacteria.Bacteroidota.Rhodothermia.Balneolales.Balneolaceae.unknown.unknown,4.029276834919171,2.352861728876516e-13
control,Bacteria.Bacteroidota.Rhodothermia.Balneolales,4.154583362029989,2.386113296488808e-13
control,Bacteria.Bacteroidota.Rhodothermia.Balneolales.Balneolaceae,4.154583362029989,2.386113296488808e-13
control,Bacteria.Bacteroidota.Rhodothermia,4.3352551590496,2.91646434295922e-13
control,Bacteria.Proteobacteria.Gammaproteobacteria.unknown,4.203910803668902,2.921554566269565e-13
control,Bacteria.Proteobacteria.Gammaproteobacteria.unknown.unknown,4.203910803668902,2.921554566269565e-13
control,Bacteria.Proteobacteria.Gammaproteobacteria.unknown.unknown.unknown,4.203910803668902,2.921554566269565e-13
control,Bacteria.Proteobacteria.Gammaproteobacteria.unknown.unknown.unknown.unknown,4.203910803668902,2.921554566269565e-13
control,Bacteria.Gemmatimonadota.BD2_11terrestrialgroup,4.075426429032011,2.921554566269565e-13
control,Bacteria.Gemmatimonadota.BD2_11terrestrialgroup.unknown,4.075426429032011,2.921554566269565e-13
control,Bacteria.Gemmatimonadota.BD2_11terrestrialgroup.unknown.unknown,4.075426429032011,2.921554566269565e-13
control,Bacteria.Gemmatimonadota.BD2_11terrestrialgroup.unknown.unknown.unknown,4.075426429032011,2.921554566269565e-13
control,Bacteria.Gemmatimonadota.BD2_11terrestrialgroup.unknown.unknown.unknown.unknown,4.075426429032011,2.921554566269565e-13
control,Bacteria.Actinobacteriota.Acidimicrobiia.Actinomarinales,4.070666613544885,3.4529542236311955e-13
control,Bacteria.Actinobacteriota.Acidimicrobiia.Actinomarinales.unknown,4.070666613544885,3.4529542236311955e-13
control,Bacteria.Actinobacteriota.Acidimicrobiia.Actinomarinales.unknown.unknown,4.070666613544885,3.4529542236311955e-13
control,Bacteria.Actinobacteriota.Acidimicrobiia.Actinomarinales.unknown.unknown.unknown,4.070666613544885,3.4529542236311955e-13
control,Bacteria.Actinobacteriota.Acidimicrobiia,4.081254933806489,5.683578052537506e-13
control,Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Marinobacteraceae,4.063078735296908,3.70531559044631e-12
control,Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Marinobacteraceae.Marinobacter,4.063078735296908,3.70531559044631e-12
control,Bacteria.Gemmatimonadota,4.256174562927591,4.319650713615793e-12
control,Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales,4.206257284461052,3.036202013417487e-11
control,Bacteria.Chloroflexi,4.140861933881012,6.484170447491883e-11
control,Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales,4.300315731695037,2.934398584747781e-09
treatment,Bacteria.Desulfobacterota.Desulfuromonadia.Geobacterales,4.02917177887719,2.91646434295922e-13
treatment,Bacteria.Desulfobacterota.Desulfuromonadia.Geobacterales.Geobacteraceae,4.02917177887719,2.91646434295922e-13
treatment,Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales,4.706661999331174,2.921554566269565e-13
treatment,Bacteria.Acidobacteriota.Vicinamibacteria.Vicinamibacterales,4.332114172548424,2.921554566269565e-13
treatment,Bacteria.Acidobacteriota.Vicinamibacteria.Vicinamibacterales.Vicinamibacteraceae,4.088421109691307,3.17497811843392e-13
treatment,Bacteria.Acidobacteriota.Vicinamibacteria.Vicinamibacterales.Vicinamibacteraceae.unknown,4.076302984137207,3.176358304006556e-13
treatment,Bacteria.Acidobacteriota.Vicinamibacteria.Vicinamibacterales.Vicinamibacteraceae.unknown.unknown,4.076302984137207,3.176358304006556e-13
treatment,Bacteria.Acidobacteriota.Vicinamibacteria,4.363295977361055,3.4529542236311955e-13
treatment,Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Nitrosomonadaceae,4.257059225021548,3.4529542236311955e-13
treatment,Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Nitrosomonadaceae.MND1,4.011022621259961,3.4529542236311955e-13
treatment,Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Nitrosomonadaceae.MND1.unknown,4.011022621259961,3.4529542236311955e-13
treatment,Bacteria.Nitrospirota,4.010519526299808,6.701141583819743e-13
treatment,Bacteria.Acidobacteriota,4.601099860101739,2.8972617995819644e-12
